maximum error = 0.1
# n	SingleThreaded	MultiThreaded	TimeDifference
5	0.0702	0.1336	0.525449
10	0.1249	0.0848	1.47288
50	0.7485	0.6142	1.21866
100	2.6656	0.8197	3.25192
200	7.7131	0.7298	10.5688
500	32.816	2.6849	12.2224
800	86.0424	9.9413	8.65505
1000	191.842	16.5749	11.5743
1500	237.19	22.6916	10.4528
2000	326.767	31.324	10.4318
2500	586.351	49.9666	11.7349
3500	811.578	89.4913	9.06879
5000	1869.26	208.416	8.96887
6500	2888.95	303.309	9.52477
8500	4986.05	546.826	9.11817
10000	6919.49	963.565	7.18113
