maximum error = 0.01
# n	SingleThreaded	MultiThreaded	TimeDifference
5	0.076	0.1029	0.738581
10	0.1719	0.1243	1.38294
50	1.8113	6.1038	0.29675
100	6.4343	7.875	0.817054
200	11.7495	2.2791	5.15532
500	34.2644	3.1903	10.7402
800	91.7306	10.0547	9.12316
1000	125.891	17.1146	7.3558
1500	254.236	32.2157	7.89169
2000	315.513	100.612	3.13596
2500	505.981	51.2082	9.88086
3500	808.301	87.7086	9.21575
5000	1747.28	179.034	9.75944
6500	2991.56	364.06	8.21721
8500	4917.45	566.038	8.68748
10000	6727.76	831.473	8.09137
