maximum error = 0.0002
# n	SingleThreaded	MultiThreaded	TimeDifference
5	0.1419	0.2138	0.663704
10	0.3113	0.5808	0.535985
50	3.3501	32.7201	0.102387
100	12.8758	52.2266	0.246537
200	39.3569	2526.54	0.0155774
500	155.043	3827.28	0.0405099
800	378.128	11153.2	0.033903
1000	542.779	13566.5	0.0400088
1500	833.301	23308.6	0.0357507
2000	1010.48	34405.6	0.0293697
2500	1025.31	45179.3	0.0226943
3500	1648.01	63626.6	0.0259013
5000	2851.95	428.137	6.6613
6500	3893.41	615.563	6.32495
8500	7326.97	1053.56	6.95448
10000	7902.99	1410.75	5.60199
